LOKI_REPLICAS,WRITE_BATCH_SIZE,WRITE_MSG_PER_SEC,WRITE_REPLICAS,POD,NAME,CPU(cores),MEMORY(bytes)
2,1,2000,1,loki-loki-distributed-distributor-avg,avg-loki,263,31
2,1,2000,1,loki-loki-distributed-ingester-avg,avg-loki,199,60
2,1,2000,1,loki-loki-distributed-querier-avg,avg-loki,2,42
2,1,2000,1,loki-loki-distributed-query-frontend-avg,avg-loki,0,30
2,1,2000,1,minio-avg,avg-loki,3,75
2,1,2000,1,grafana-avg,avg-loki,50,102
2,1,2000,1,write-stress-avg,avg-loki,93,137
2,3,2000,1,loki-loki-distributed-distributor-avg,avg-loki,208,31
2,3,2000,1,loki-loki-distributed-ingester-avg,avg-loki,182,167
2,3,2000,1,loki-loki-distributed-querier-avg,avg-loki,2,42
2,3,2000,1,loki-loki-distributed-query-frontend-avg,avg-loki,0,30
2,3,2000,1,minio-avg,avg-loki,2,89
2,3,2000,1,grafana-avg,avg-loki,168,103
2,3,2000,1,write-stress-avg,avg-loki,250,139
2,5,2000,1,loki-loki-distributed-distributor-avg,avg-loki,112,30
2,5,2000,1,loki-loki-distributed-ingester-avg,avg-loki,90,315
2,5,2000,1,loki-loki-distributed-querier-avg,avg-loki,2,41
2,5,2000,1,loki-loki-distributed-query-frontend-avg,avg-loki,0,31
2,5,2000,1,minio-avg,avg-loki,1,101
2,5,2000,1,grafana-avg,avg-loki,349,102
2,5,2000,1,write-stress-avg,avg-loki,421,138
2,7,2000,1,loki-loki-distributed-distributor-avg,avg-loki,82,30
2,7,2000,1,loki-loki-distributed-ingester-avg,avg-loki,70,480
2,7,2000,1,loki-loki-distributed-querier-avg,avg-loki,2,41
2,7,2000,1,loki-loki-distributed-query-frontend-avg,avg-loki,0,30
2,7,2000,1,minio-avg,avg-loki,3,122
2,7,2000,1,grafana-avg,avg-loki,127,101
2,7,2000,1,write-stress-avg,avg-loki,173,135
2,9,2000,1,loki-loki-distributed-distributor-avg,avg-loki,80,31
2,9,2000,1,loki-loki-distributed-ingester-avg,avg-loki,52,576
2,9,2000,1,loki-loki-distributed-querier-avg,avg-loki,2,42
2,9,2000,1,loki-loki-distributed-query-frontend-avg,avg-loki,0,30
2,9,2000,1,minio-avg,avg-loki,2,137
2,9,2000,1,grafana-avg,avg-loki,260,102
2,9,2000,1,write-stress-avg,avg-loki,316,137
2,11,2000,1,loki-loki-distributed-distributor-avg,avg-loki,71,31
2,11,2000,1,loki-loki-distributed-ingester-avg,avg-loki,53,647
2,11,2000,1,loki-loki-distributed-querier-avg,avg-loki,1,42
2,11,2000,1,loki-loki-distributed-query-frontend-avg,avg-loki,0,29
2,11,2000,1,minio-avg,avg-loki,3,156
2,11,2000,1,grafana-avg,avg-loki,108,103
2,11,2000,1,write-stress-avg,avg-loki,162,138
2,13,2000,1,loki-loki-distributed-distributor-avg,avg-loki,73,32
2,13,2000,1,loki-loki-distributed-ingester-avg,avg-loki,42,654
2,13,2000,1,loki-loki-distributed-querier-avg,avg-loki,1,42
2,13,2000,1,loki-loki-distributed-query-frontend-avg,avg-loki,0,29
2,13,2000,1,minio-avg,avg-loki,2,176
2,13,2000,1,grafana-avg,avg-loki,193,102
2,13,2000,1,write-stress-avg,avg-loki,246,136
2,15,2000,1,loki-loki-distributed-distributor-avg,avg-loki,53,31
